Gualino;Exercices de comptabilité générale avec corrigés détaillés 2013-2014 Ed. 11;Grandguillot, Béatrice;Grandguillot, Francis;;978-2-297-03289-6;978-2-297-03725-9;2013;http://uag.cyberlibris.com/book/88814726;fr
Marshall Cavendish Editions;CultureShock! Korea;Vegdahl, Sonja;Seunghwa Hur, Ben;;978-0-7614-5489-2;978-981-261-739-2;2008;http://uag.cyberlibris.com/book/10255310;en
Springer;Pseudo-Differential Operators and Related Topics;Boggiatto, Paolo;Rodino, Luigi;Toft, Joachim;978-3-7643-7513-3;978-3-7643-7514-0;2006;http://uag.cyberlibris.com/book/88803657;en
Presses de l'Université du Québec;Réduction de la fracture numérique en tourisme : Le rôle des grandes organisations internationales;Bédard, François;Kadri, Boualem;;978-2-7605-1229-0;978-2-7605-1747-9;2003;http://uag.cyberlibris.com/book/88801350;fr
Eyrolles;Le gauchisme, maladie sénile du communisme Ed. 1;Rayski, Benoît;;;978-2-212-86897-5;978-2-212-21399-7;2013;http://uag.cyberlibris.com/book/88821075;fr
Penguin Random House South Africa;Sasol First Field Guide to Skywatching in Southern Africa Ed. 1;Turk, Cliff;;;978-1-86872-597-7;978-1-77584-044-2;2013;http://uag.cyberlibris.com/book/88813060;en
Ibis Rouge;Du Touloulou au Tololo : Le bal paré-masqué, son évolution;Belfort, Aline;;;978-2-84450-436-4;978-2-84450-936-9;2013;http://uag.cyberlibris.com/book/88821367;fr
Springer;Lattice-ordered Rings and Modules;Steinberg, Stuart A.;;;978-1-4419-1720-1;978-1-4419-1721-8;2010;http://uag.cyberlibris.com/book/88804739;en
CODESRIA;Youth, HIV/AIDS and Social Transformations in Africa;Mwiturubani, Anthony;Gebre, Ayalew;;978-2-86978-255-6;978-2-86978-426-0;2009;http://uag.cyberlibris.com/book/88825154;en
L'Etudiant;Bien négocier son départ de l'entreprise;Portella, Angela;;;978-2-84624-125-0;;2001;http://uag.cyberlibris.com/book/10208884;fr
Luce Wilquin;Poulet à la vodka ou l'enlèvement au bercail;Stahl, Josyane;;;978-2-88253-197-1;;2002;http://uag.cyberlibris.com/book/45005784;fr
Dunod;Introduction au droit;Laforêt, Moulin;Edwige, Françoise;;978-2-10-052581-2;978-2-10-054225-3;2009;http://uag.cyberlibris.com/book/45006225;fr
Elsevier Science;Advances in Intelligence and Security Informatics;Mao, Wenji;Wang, Fei-Yue;;978-0-12-397200-2;978-0-12-397324-5;2012;http://uag.cyberlibris.com/book/88812270;en
Editions Manucius;Le Livre des Masques;Gourmont, Remy de;;;978-2-84578-067-5;978-2-84578-235-8;2007;http://uag.cyberlibris.com/book/41000226;fr
Domaine public;Le tour du monde d'un gamin de Paris;Boussenard, Louis;;;;;1879;http://uag.cyberlibris.com/book/45000672;fr
Dunod;Atlas d'initiation aux cartes et aux coupes géologiques Ed. 2;Sorel, Denis;Vergely, Pierre;;978-2-10-054645-9;978-2-10-055572-7;2010;http://uag.cyberlibris.com/book/88800076;fr
Elsevier Science;Human Fatigue Risk Management - Improving Safety in the Chemical Processing Industry;Murray, Susan L.;Thimgan, Matthew S.;;978-0-12-802412-6;978-0-12-802664-9;2016;http://uag.cyberlibris.com/book/88833667;en
Dunod;Management de la production  : Concepts. Méthodes. Cas. Ed. 4;Gratacap, Anne;Médan, Pierre ;;978-2-10-058744-5;978-2-10-059155-8;2013;http://uag.cyberlibris.com/book/88811878;fr
Les Editions Ecosociété;La fin de l'abondance : L'économie dans un monde post-pétrole;Greer, John Michael;;;978-2-89719-054-5;978-2-89719-055-2;2013;http://uag.cyberlibris.com/book/88816641;fr
RB édition;Manager un réseau d'agences : Optimiser les performances des équipes d'exploitation;Maisonneuve, Jean-Henry;Delhoumeau, Alain ;;978-2-86325-611-4;;2013;http://uag.cyberlibris.com/book/88814085;fr
World Trade Press;Cyprus Money and Banking;World Trade Press;;;;978-1-60780-858-9;2010;http://uag.cyberlibris.com/book/45005392;en
Gestion 2000;Pour une approche transversale de la gestion des compétences;Dejoux, Cécile;;;;;2000;http://uag.cyberlibris.com/book/10057941;fr
Elsevier Science;Atlas of Zebrafish Development;Bryson-Richardson, Robert;Berger, Silke;Currie, Peter;978-0-12-374016-8;978-0-08-092061-0;2011;http://uag.cyberlibris.com/book/88811729;en
EDP Sciences;Demain, quelle Terre ? : Dialogue sur l'environnement et la transition énergétique;Bobin, Jean-Louis;;;978-2-7598-1674-3;978-2-7598-1810-5;2015;http://uag.cyberlibris.com/book/88827965;fr
World Trade Press;Ghana Media, Internet & Telecommunications Complete Profile;World Trade Press;;;;978-1-60780-639-4;2010;http://uag.cyberlibris.com/book/45005000;en
Basler Afrika Bibliographien;Owners of Learning - The Nyae Nyae Village Schools over Twenty-Five Years;Hays, Jennifer;;;978-3-905758-60-3;978-3-905758-82-5;2016;http://uag.cyberlibris.com/book/88833169;en
CESEM - HEM;La revue economia n°6 : Les Migrants une Force Economique ? ;Collectif;;;;;2009;http://uag.cyberlibris.com/book/45006617;fr
ISC Paris;CRISC numéro 16 Investissement et financement;Collectif;;;;;2007;http://uag.cyberlibris.com/book/45007848;fr
Dunod;Gestion des investissements et de l'information financière : Corrigés Ed. 8;Lozato, Michel;Nicolle, Pascal;;978-2-10-059832-8;978-2-10-070054-7;2013;http://uag.cyberlibris.com/book/88819309;fr
Elsevier Science;Handbook of the Psychology of Aging Ed. 7;Schaie, K. Warner;Willis, Sherry L. ;;978-0-12-380882-0;978-0-12-380883-7;2010;http://uag.cyberlibris.com/book/88812170;en
Dunod;Méthode de négociation  : On ne naît pas bon négociateur, on le devient Ed. 2;Lempereur, Alain;Colson, Aurélien;;978-2-10-053073-1;978-2-10-055080-7;2010;http://uag.cyberlibris.com/book/45007556;fr
Presses de l'Université du Québec;Le commerce électronique : Y a-t-il un modèle québécois ?;Lafrance, Jean-Paul;Brouillard, Pierre;;978-2-7605-1154-5;978-2-7605-1696-0;2002;http://uag.cyberlibris.com/book/88801301;fr
Editions Quae;Le fait technique en agronomie;Gras, Raymond;;;978-2-7380-0094-1;978-2-7592-0416-8;1989;http://uag.cyberlibris.com/book/45004602;fr
Capricci Editions;Piges choisies (de Griffith à Ellroy);Moullet, Luc;;;;979-10-239-0064-4;2014;http://uag.cyberlibris.com/book/88824756;fr
Elsevier Science;Managing Wine Quality : Oenology and Wine Quality;Reynolds, A.;;;978-1-84569-798-3;978-1-84569-998-7;2010;http://uag.cyberlibris.com/book/88819160;en
World Trade Press;Mozambique Women in Culture, Business & Travel;World Trade Press;;;;978-1-60780-224-2;2010;http://uag.cyberlibris.com/book/45004851;en
Le Génie des Glaciers Editeur;Mémento Communication-Négociation : 100 fiches pour 100 fois mieux négocier;Le Page, Olivier;;;978-2-84347-838-3;;2012;http://uag.cyberlibris.com/book/88810796;fr
RB édition;Bankers, Markets and Investors 77 Juillet-Août 2005;Revue Banque;;;;;2005;http://uag.cyberlibris.com/book/10088976;fr
Les Belles Lettres;Quand Versailles était conté... La cour de Louis XIV par les écrivains de son temps;Dandrey, Patrick;;;978-2-251-44372-0;;2009;http://uag.cyberlibris.com/book/88808981;fr
L'Archipel;Le chat derrière la vitre - L'heure du braconnier - Une vie d'eau et de vent;Bordes, Gilbert;;;978-2-8098-0074-6;;2008;http://uag.cyberlibris.com/book/10276750;fr
Manpower (fiche de lecture);La surprenante histoire de Claude-Jean Desvignes, jeune dirigeant (résumé);CJD Centre des Jeunes Dirigeants d'entreprise;;;;;2004;http://uag.cyberlibris.com/book/10081645;fr
Springer;Analysis and Algebra on Differentiable Manifolds : A Workbook for Students and Teachers;Gadea, P.;Muñoz Masqué, J.;;978-90-481-3563-9;978-90-481-3564-6;2009;http://uag.cyberlibris.com/book/88803465;en
L'Archipel;Je bosse enfin à la télé ;Blum, Charlotte;;;978-2-8098-0433-1;;2011;http://uag.cyberlibris.com/book/45008389;fr
samedi midi éditions;La Provence en Chambre d'hôtes 2006-2007;samedi midi éditions;;;978-2-915928-04-4;;2006;http://uag.cyberlibris.com/book/10159939;fr
Epel Editions;Pas très catholique, Lacan ?;Sous, Jean-Louis;;;978-2-35427-173-2;978-2-35427-147-3;2016;http://uag.cyberlibris.com/book/88832293;fr
Dunod;Aide-mémoire de gestion des déchets;Balet, Jean-Michel;;;978-2-10-070894-9;978-2-10-071344-8;2014;http://uag.cyberlibris.com/book/88820826;fr
Eyrolles;LTE pour les reseaux 4G Ed. 1;Bouguen, Yannick;Hardouin, Eric;Wolff, François-Xavier;978-2-212-12990-8;978-2-212-17686-5;2012;http://uag.cyberlibris.com/book/88812562;fr
Régionalismes (Ed. des) ;Histoire de la Maurienne : Tome Ier;Gros, Chanoine A.;;;978-2-8240-0208-8;978-2-8240-5017-1;2014;http://uag.cyberlibris.com/book/88820534;fr
Presses de l'Université du Québec;Amour, violence et adolescence;Fernet, Mylène;;;978-2-7605-1347-1;978-2-7605-1837-7;2005;http://uag.cyberlibris.com/book/88801450;fr
Bayard éditions;Les Héros de la Bible;Bus, Sabrina;Deneux, Xavier;Renon, Delphine;978-2-7470-2390-0;978-2-7470-2390-0;2008;http://uag.cyberlibris.com/book/40000068;fr
Dunod;La gestion des ressources humaines Ed. 4;Cadin, Loïc;Guérin, Francis;;978-2-10-072235-8;978-2-10-074096-3;2015;http://uag.cyberlibris.com/book/88830670;fr
Presses de l'Université du Québec;Rédaction de courriels efficaces, suivi de Rédiger avec concision ;Armand, Nathalène;;;978-2-7605-3142-0;978-2-7605-3143-7;2011;http://uag.cyberlibris.com/book/88806176;fr
Atlantico Press;Viagens na minha terra;Garret, Almeida;;;978-989-8373-19-9;;2012;http://uag.cyberlibris.com/book/88814185;pt
Editions Rue d'ULM;La beauté du geste : Pour une esthétique des conduites;Galard, Jean;;;978-2-7288-0097-1;978-2-7288-3546-1;1984;http://uag.cyberlibris.com/book/45007699;fr
Marshall Cavendish Editions;CultureShock! Morocco;Hargraves, Orin;;;978-981-261-711-8;978-981-261-711-8;2008;http://uag.cyberlibris.com/book/10255210;en
Springer;Introduction to Mathematical Systems Theory : Linear Systems, Identification and Control;Heij, Christiaan;Ran, André;Schagen, Freek;978-2-7288-0097-1;978-2-7288-3546-1;2007;http://uag.cyberlibris.com/book/88804424;en
